n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Comm_range,Evaporation_rate,Alert_evaporation_rate,Ever_explored_penalty,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Algorithm,Seed
5,3,2,1.0,0.0,100000,0.31220657276995306,0.5676820881415041,0.17953300663015279,52.0,14.69419950964485,468.3080668176331,0.12004019320011139,0.0010191743079019228,10.0,0.8204669933698472,1371.9130666666667,3.4,2000.0,0.01,0.005,0.0,0.2500761442526418,827.3597856253385,4136.798928126693,Swarm_3D2P,42
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,,,,,,,,Pizza,42
5,5,0,,0.0,100000,,,,54.0,13.89259287068608,500.00000000000034,0.1443337355557573,0.0019418043063277343,,,,5.1,,,,,,,,Greedy,42
5,3,2,1.0,0.0,100000,0.32712474222280724,0.6813588854484186,0.15374574347332576,73.5,16.243500278797107,497.3468934724569,0.14892908930778503,0.0014952997418087874,12.0,0.8462542565266742,1343.3644874899112,3.5,2000.0,0.01,0.005,0.0,0.16144709886613673,950.1370509192348,4750.685254596174,Swarm_3D2P,123
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,,,,,,,,Pizza,123
5,5,0,,0.0,100000,,,,55.50000000000001,13.293828648930175,500.0000000000001,0.13756653186282183,0.002051063611281112,,,,7.6,,,,,,,,Greedy,123
5,3,2,1.0,0.0,100000,0.31861261024088455,0.6425490480360674,0.17842394071392204,68.0,15.578391826490174,465.3609035496093,0.1372688263654709,0.0011974554644545172,13.0,0.8215760592860779,1319.364208979249,5.2,2000.0,0.01,0.005,0.0,0.22678673071203792,913.8274566814304,4569.137283407152,Swarm_3D2P,456
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,,,,,,,,Pizza,456
5,5,0,,0.0,100000,,,,38.5,11.167172442495552,500.00000000000057,0.09927636774890145,0.0018956822960696656,,,,7.3,,,,,,,,Greedy,456
5,3,2,1.0,0.2,100000,0.28781097801763855,0.5654372783295759,0.17204165351846007,52.0,13.829915172595886,433.80907979494856,0.11915520578622818,0.0010198040124682793,10.0,0.8279583464815399,1313.3882005670564,5.6,2000.0,0.01,0.005,0.0,0.28224661506435944,811.0932833462954,4055.466416731477,Swarm_3D2P,42
5,5,0,,0.2,100000,,,,80.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,,,,,,,,Pizza,42
5,5,0,,0.2,100000,,,,55.50000000000001,12.611421488412397,430.00000000000006,0.12745210543864124,0.0013006250653826155,,,,7.1,,,,,,,,Greedy,42
5,3,2,1.0,0.2,100000,0.3152121451450134,0.6751360754447091,0.13424921667871775,73.5,15.697245048436987,471.89365642458165,0.14598508179187775,0.0015056943230300013,12.0,0.8657507833212822,1422.7745204614791,5.7,2000.0,0.01,0.005,0.0,0.1464866198718522,913.078578029573,4565.392890147865,Swarm_3D2P,123
5,5,0,,0.2,100000,,,,76.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,,,,,,,,Pizza,123
5,5,0,,0.2,100000,,,,45.5,11.467123459476916,429.9999999999998,0.11012998510344423,0.0019979599584213723,,,,7.5,,,,,,,,Greedy,123
5,3,2,1.0,0.2,100000,0.3107147558246676,0.6478179997085639,0.09281322059953882,67.0,15.236612690650759,435.87234618405006,0.13828496634960175,0.0011980195026746131,13.0,0.9071867794004612,1288.406900744794,5.0,2000.0,0.01,0.005,0.0,0.2404811801512854,813.7943645253778,4068.9718226268888,Swarm_3D2P,456
5,5,0,,0.2,100000,,,,76.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,,,,,,,,Pizza,456
5,5,0,,0.2,100000,,,,31.5,9.445113807557433,429.99999999999983,0.08537505855672896,0.001355709615911736,,,,7.7,,,,,,,,Greedy,456
5,3,2,1.0,0.4,100000,0.2753718573120969,0.5262177474361355,0.17192241720543608,51.0,13.420774107329517,415.9735705595334,0.11323089897632599,0.0010198040124682793,10.0,0.8280775827945639,1497.161898406873,3.5,2000.0,0.01,0.005,0.0,0.24986446739709822,764.1949699178338,3820.974849589169,Swarm_3D2P,42
5,5,0,,0.4,100000,,,,66.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,42
5,5,0,,0.4,100000,,,,43.5,11.073777489384733,360.0000000000003,0.11085217759858228,0.001977007223820685,,,,5.9,,,,,,,,Greedy,42
5,3,2,1.0,0.4,100000,0.29090430433065684,0.6408954091033232,0.13486005089058525,70.0,14.551812350581073,445.1008580505596,0.13897952437400818,0.0015056943230300013,12.0,0.8651399491094147,1512.7283360914698,3.1,2000.0,0.01,0.005,0.0,0.15128663593725578,872.238177613914,4361.19088806957,Swarm_3D2P,123
5,5,0,,0.4,100000,,,,62.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.1,,,,,,,,Pizza,123
5,5,0,,0.4,100000,,,,45.5,10.490477101015488,360.00000000000045,0.1159986785975945,0.0020478965541980833,,,,5.2,,,,,,,,Greedy,123
5,3,2,1.0,0.4,100000,0.29353692246939583,0.6048525851764206,0.11054975736222827,61.5,14.575904666870969,415.27896679769714,0.12931963801383972,0.0011980195026746131,13.0,0.8894502426377717,1392.262142409689,2.7,2000.0,0.01,0.005,0.0,0.2203051513154839,787.5982921794057,3937.9914608970284,Swarm_3D2P,456
5,5,0,,0.4,100000,,,,64.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,456
5,5,0,,0.4,100000,,,,28.499999999999996,8.409552441761873,360.0,0.07814958348775283,0.0019141663477741347,,,,5.7,,,,,,,,Greedy,456
5,3,2,1.0,0.6,100000,0.24928699925409153,0.4805904757402548,0.18661417322834645,47.0,12.379680229965238,391.61453899719095,0.10303594917058945,0.0010198040124682793,10.0,0.8133858267716535,1403.333763977369,2.8,2000.0,0.01,0.005,0.0,0.21031818008313774,714.2932037103922,3571.4660185519606,Swarm_3D2P,42
5,5,0,,0.6,100000,,,,52.5,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,42
5,5,0,,0.6,100000,,,,21.5,6.170912847880673,290.0000000000001,0.05341862514857627,0.0020383761707808913,,,,5.1,,,,,,,,Greedy,42
5,3,2,1.0,0.6,100000,0.27754376727655655,0.6136921043226705,0.13266145619086794,65.5,14.251927296155447,421.8669071032128,0.13256466388702393,0.0015056943230300013,12.0,0.867338543809132,1551.7133773149988,3.6,2000.0,0.01,0.005,0.0,0.1477414593927966,829.2666761651635,4146.333380825818,Swarm_3D2P,123
5,5,0,,0.6,100000,,,,47.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,123
5,5,0,,0.6,100000,,,,27.0,7.7646981655362355,290.0000000000007,0.07115874246753015,0.0018813766508997698,,,,5.0,,,,,,,,Greedy,123
5,3,2,1.0,0.6,100000,0.28399368171646705,0.581990271296332,0.08895770286438173,58.5,14.247187378096116,395.29927431343606,0.12470338493585587,0.0011980195026746131,13.0,0.9110422971356182,1331.2946857811078,2.6,2000.0,0.01,0.005,0.0,0.18189628236631616,729.1964156165719,3645.9820780828595,Swarm_3D2P,456
5,5,0,,0.6,100000,,,,52.0,18.78880555046172,289.0800024523155,0.11271590101713831,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,456
5,5,0,,0.6,100000,,,,33.0,7.716767911877192,290.0000000000008,0.07440511584644069,0.001882684769700624,,,,5.6,,,,,,,,Greedy,456
