total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,presence_weight,seed,elapsed_s
434940,14402,0.03311261323400929,8906,0.3821005663291574,0.303457128048251,1.0,0.303457128048251,"{'drone_0': 4636, 'drone_1': 4824, 'drone_2': 4882, 'drone_3': 4291, 'drone_4': 4675}",2573,"{'drone_0': 99975.51258454012, 'drone_1': 99999.07994944042, 'drone_2': 99975.30572191387, 'drone_3': 99999.63496601704, 'drone_4': 99984.89958160123}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99999.07994945771), 'drone_2': np.float64(99975.30572190322), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99984.8995815931)}",14402,8906,0.6178994336708427,,1122.4566332218506,0.36745890261579106,0.008961141950832672,63.85618556701031,sarenv_s1_5d_100k,0.0,42,13.132488300005207
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,42,13.557378600002266
434940,13777,0.031675633420701704,10141,0.42399030019232375,0.3037934555106858,1.0,0.3037934555106858,"{'drone_0': 4966, 'drone_1': 4782, 'drone_2': 4799, 'drone_3': 4633, 'drone_4': 4738}",2606,"{'drone_0': 99974.80903067281, 'drone_1': 99999.09191619475, 'drone_2': 99972.30463770551, 'drone_3': 99968.0123892417, 'drone_4': 99965.61142759121}","{'drone_0': np.float64(99974.80903066616), 'drone_1': np.float64(99999.0919161931), 'drone_2': np.float64(99972.30463770244), 'drone_3': np.float64(99968.01238923916), 'drone_4': np.float64(99965.61142758557)}",13777,10141,0.5760096998076762,,1181.5406571905392,0.36782319902941807,0.008003201280512205,57.755582232893154,sarenv_s1_5d_100k,0.0,1,14.572652600007132
434940,15702,0.03610153124568906,8494,0.3510497602909572,0.3356724482357549,1.0,0.3356724482357549,"{'drone_0': 4718, 'drone_1': 5485, 'drone_2': 4387, 'drone_3': 5160, 'drone_4': 4446}",2629,"{'drone_0': 99972.41231830786, 'drone_1': 99998.46282974083, 'drone_2': 99984.19214204003, 'drone_3': 99958.93149074668, 'drone_4': 99978.63253491951}","{'drone_0': np.float64(99972.41231830447), 'drone_1': np.float64(99998.46282974313), 'drone_2': np.float64(99984.19214205093), 'drone_3': np.float64(99958.93149074003), 'drone_4': np.float64(99978.63253492049)}",15702,8494,0.6489502397090429,,1270.4240326369143,0.33515291048992313,0.000995850622406639,62.41489626556017,sarenv_s1_5d_100k,0.01,1,13.183748900017235
434940,13961,0.03209868027773946,9409,0.40261018399657683,0.29889581926852316,1.0,0.29889581926852316,"{'drone_0': 4636, 'drone_1': 4878, 'drone_2': 4772, 'drone_3': 4291, 'drone_4': 4793}",2576,"{'drone_0': 99975.51258454012, 'drone_1': 99989.1625225466, 'drone_2': 99998.91496041286, 'drone_3': 99999.63496601704, 'drone_4': 99958.00756526219}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99989.16252256287), 'drone_2': np.float64(99998.91496040387), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99958.00756525583)}",13961,9409,0.5973898160034232,,1079.2951963698952,0.3723139379084657,0.009014758675708017,61.55975269246111,sarenv_s1_5d_100k,0.0,7,15.590238199976739
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,7,14.393771100003505
434940,13340,0.030670897135237043,9972,0.4277625257378174,0.3005774755701509,1.0,0.3005774755701509,"{'drone_0': 5461, 'drone_1': 4182, 'drone_2': 4029, 'drone_3': 4386, 'drone_4': 5254}",2631,"{'drone_0': 99961.00510738221, 'drone_1': 99970.60352602295, 'drone_2': 99974.7427521666, 'drone_3': 99968.00808602244, 'drone_4': 99996.38538136368}","{'drone_0': np.float64(99961.00510736248), 'drone_1': np.float64(99970.6035260223), 'drone_2': np.float64(99974.7427521661), 'drone_3': np.float64(99968.00808601844), 'drone_4': np.float64(99996.38538136374)}",13340,9972,0.5722374742621825,,1241.9941433997274,0.3672972500152276,0.005585660691954981,56.305043768236764,sarenv_s1_5d_100k,0.0,100,14.554475899989484
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,100,18.244963899982395
434940,14000,0.03218834781808985,9639,0.4077583654130885,0.29267688317156626,1.0,0.29267688317156626,"{'drone_0': 4388, 'drone_1': 5024, 'drone_2': 4626, 'drone_3': 4252, 'drone_4': 5349}",2661,"{'drone_0': 99982.1516646857, 'drone_1': 99988.38844090002, 'drone_2': 99994.72596145113, 'drone_3': 99973.72024400168, 'drone_4': 99995.26374511838}","{'drone_0': np.float64(99982.15166467533), 'drone_1': np.float64(99988.38844091282), 'drone_2': np.float64(99994.72596144943), 'drone_3': np.float64(99973.72024400198), 'drone_4': np.float64(99995.26374510955)}",14000,9639,0.5922416345869115,,1187.042316389158,0.37509733404209156,0.0034663442160419184,60.15034260378879,sarenv_s1_5d_100k,0.0,999,15.164056399982655
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,999,14.143207299988717
434940,14008,0.03220674115970019,9123,0.39440577579871167,0.28580271339779983,1.0,0.28580271339779983,"{'drone_0': 4668, 'drone_1': 4621, 'drone_2': 4549, 'drone_3': 4420, 'drone_4': 4873}",2614,"{'drone_0': 99992.34205090767, 'drone_1': 99960.81458863716, 'drone_2': 99966.89075298695, 'drone_3': 99973.31848548791, 'drone_4': 99998.76110301571}","{'drone_0': np.float64(99992.34205089026), 'drone_1': np.float64(99960.8145886408), 'drone_2': np.float64(99966.8907529869), 'drone_3': np.float64(99973.3184854935), 'drone_4': np.float64(99998.7611030111)}",14008,9123,0.6055942242012883,,1209.1276164101243,0.3917158856824856,0.003322784810126582,64.03132911392404,sarenv_s1_5d_100k,0.0,13,14.923272500018356
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,13,13.685774900019169
434940,14148,0.03252862463788109,9419,0.39966902872660925,0.2951160331759297,1.0,0.2951160331759297,"{'drone_0': 4543, 'drone_1': 5163, 'drone_2': 4392, 'drone_3': 4487, 'drone_4': 4982}",2619,"{'drone_0': 99997.73087741458, 'drone_1': 99996.31527110224, 'drone_2': 99976.0216600212, 'drone_3': 99971.16631397094, 'drone_4': 99961.06212615239}","{'drone_0': np.float64(99997.73087740448), 'drone_1': np.float64(99996.31527110584), 'drone_2': np.float64(99976.02166002995), 'drone_3': np.float64(99971.16631395715), 'drone_4': np.float64(99961.06212615293)}",14148,9419,0.6003309712733907,,1200.6401093836416,0.3718272029541294,0.0050468050468050465,59.42954822954823,sarenv_s1_5d_100k,0.0,21,14.695948899985524
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,21,13.977351500012446
434940,12869,0.02958798914792845,10562,0.4507703469762281,0.28214228178921985,1.0,0.28214228178921985,"{'drone_0': 4633, 'drone_1': 4564, 'drone_2': 4549, 'drone_3': 4735, 'drone_4': 4950}",2635,"{'drone_0': 99977.55318977346, 'drone_1': 99970.56978742681, 'drone_2': 99972.50761464606, 'drone_3': 99973.53395457385, 'drone_4': 99997.08038271425}","{'drone_0': np.float64(99977.55318976939), 'drone_1': np.float64(99970.56978743376), 'drone_2': np.float64(99972.50761463697), 'drone_3': np.float64(99973.53395455782), 'drone_4': np.float64(99997.0803827071)}",12869,10562,0.5492296530237719,,1213.1091976283408,0.4050752308121255,0.0036277602523659305,59.71616719242902,sarenv_s1_5d_100k,0.0,77,14.834902900009183
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,77,45.67809910001233
434940,13669,0.031427323308962155,9247,0.40351719322743934,0.29126906316696477,1.0,0.29126906316696477,"{'drone_0': 5102, 'drone_1': 4344, 'drone_2': 4638, 'drone_3': 4501, 'drone_4': 4331}",2657,"{'drone_0': 99972.54487531175, 'drone_1': 99990.29672487857, 'drone_2': 99965.63236437745, 'drone_3': 99989.82952295069, 'drone_4': 99969.94484241528}","{'drone_0': np.float64(99972.54487530563), 'drone_1': np.float64(99990.29672488874), 'drone_2': np.float64(99965.63236436993), 'drone_3': np.float64(99989.82952295044), 'drone_4': np.float64(99969.9448424169)}",13669,9247,0.5964828067725606,,1211.1498922745461,0.389703872449378,0.004787018255578093,59.25817444219067,sarenv_s1_5d_100k,0.0,314,81.57147230001283
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,314,13.325503799977014
434940,15670,0.036027957879247716,8395,0.34884687305215045,0.31855266067873345,1.0,0.31855266067873345,"{'drone_0': 5079, 'drone_1': 4429, 'drone_2': 4892, 'drone_3': 4984, 'drone_4': 4681}",2595,"{'drone_0': 99974.47779995757, 'drone_1': 99963.22751701789, 'drone_2': 99988.16165837902, 'drone_3': 99994.77943814668, 'drone_4': 99963.11086638043}","{'drone_0': np.float64(99974.47779994938), 'drone_1': np.float64(99963.22751703011), 'drone_2': np.float64(99988.16165838041), 'drone_3': np.float64(99994.77943814476), 'drone_4': np.float64(99963.11086637744)}",15670,8395,0.6511531269478495,,1116.6424536860898,0.3236224620640267,0.0004068348250610252,68.60195280716029,sarenv_s1_5d_100k,0.0,2718,14.182943899999373
